,Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
124,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
127,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
129,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
130,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
133,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
134,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
137,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
138,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
141,Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
142,Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
143,Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
146,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
148,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
151,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
153,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
154,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
157,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
158,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
161,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
162,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
165,Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
166,Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
167,Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
170,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
172,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
175,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
177,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
178,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
181,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
182,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
185,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
186,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
189,Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
190,Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
191,Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
194,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
196,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
199,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
201,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
202,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
205,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
206,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
209,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
210,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
213,Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
214,Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
215,Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
218,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
220,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
223,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
