,Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
1664,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1665,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1667,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1668,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1669,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1670,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1672,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1674,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1677,Toyota,RAV4,2019,Qırmızı,2.5,Benzin,56100,Avtomat,Xeyr,25500
1678,Toyota,Corolla Cross,2024,Ağ,2.0,Hibrid,0,Variator,Bəli,18999
1680,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1681,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1682,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1683,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1684,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1686,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1688,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1689,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1691,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1692,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1693,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1694,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1696,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1698,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1701,Toyota,RAV4,2019,Qırmızı,2.5,Benzin,56100,Avtomat,Xeyr,25500
1702,Toyota,Corolla Cross,2024,Ağ,2.0,Hibrid,0,Variator,Bəli,18999
1704,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1705,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1706,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1707,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1708,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1709,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1711,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1713,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1714,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1716,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1717,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1718,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1719,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1721,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1723,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1726,Toyota,RAV4,2019,Qırmızı,2.5,Benzin,56100,Avtomat,Xeyr,25500
1727,Toyota,Corolla Cross,2024,Ağ,2.0,Hibrid,0,Variator,Bəli,18999
1728,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1729,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1730,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1731,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1732,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1733,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1735,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1737,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1738,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1740,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1741,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1742,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1743,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1745,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1747,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1750,Toyota,RAV4,2019,Qırmızı,2.5,Benzin,56100,Avtomat,Xeyr,25500
1751,Toyota,Corolla Cross,2024,Ağ,2.0,Hibrid,0,Variator,Bəli,18999
1752,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1753,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1754,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1755,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1756,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1757,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1759,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1761,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1762,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1764,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1765,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1766,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1767,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1769,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1771,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1774,Toyota,RAV4,2019,Qırmızı,2.5,Benzin,56100,Avtomat,Xeyr,25500
1775,Toyota,Corolla Cross,2024,Ağ,2.0,Hibrid,0,Variator,Bəli,18999
1776,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
1777,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1778,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1779,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1780,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1781,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1782,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1784,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1786,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1787,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1789,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1790,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1791,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1792,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1794,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1796,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1799,Toyota,RAV4,2019,Qırmızı,2.5,Benzin,56100,Avtomat,Xeyr,25500
1800,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
1801,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1802,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1803,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1804,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1805,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1806,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1808,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1810,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1811,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1813,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1814,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1815,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1816,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1818,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1820,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1823,Toyota,RAV4,2019,Qırmızı,2.5,Benzin,56100,Avtomat,Xeyr,25500
1824,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
1825,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1826,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1827,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1828,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1829,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1830,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1832,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1834,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1835,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1837,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1838,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1839,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1840,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1842,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1844,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1847,Toyota,RAV4,2019,Qırmızı,2.5,Benzin,56100,Avtomat,Xeyr,25500
1848,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
1849,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1850,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1851,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1852,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1853,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1854,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1856,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1858,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1859,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1861,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1862,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1863,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1864,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1866,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1868,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1871,Toyota,RAV4,2019,Qırmızı,2.5,Benzin,56100,Avtomat,Xeyr,25500
1872,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
1873,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1874,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1875,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1876,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1877,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1878,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1880,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1882,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1883,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1885,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1886,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1887,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1888,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1890,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1892,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1895,Toyota,RAV4,2019,Qırmızı,2.5,Benzin,56100,Avtomat,Xeyr,25500
1897,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
1898,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1899,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1900,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1901,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1902,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1903,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1905,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1907,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1908,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1910,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1911,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1912,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1913,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1915,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1917,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1921,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
1922,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1923,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1924,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1925,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1926,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1927,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1929,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1931,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1932,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1934,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1935,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1936,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1937,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1939,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1941,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1946,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
1947,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1948,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1949,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1950,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1951,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1952,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1954,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1956,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1957,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1959,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1960,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1961,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1962,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1964,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1966,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1970,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
1971,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1972,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1973,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1974,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
1975,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
1976,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
1978,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
1980,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
1981,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
1983,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
1984,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
1985,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
1986,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
1988,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
1990,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
1995,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
1996,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
1997,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
1998,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
1999,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
2000,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
2001,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
2003,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
2005,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
2006,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
2008,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
2009,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
2010,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
2011,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
2013,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
2015,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
2019,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
2020,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
2021,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
2022,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
2023,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
2024,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
2025,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
2027,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
2029,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
2030,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
2032,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
2033,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
2034,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
2035,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
2037,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
2039,Hyundai,Elantra,2011,Ağ,1.8,Benzin,181500,Avtomat,Xeyr,12390
2040,Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
2045,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
2046,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
2047,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
2048,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
2049,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
2050,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
2051,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
2053,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
2055,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
2056,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
2058,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
2059,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
2060,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
2061,Mercedes,E 220 d,2012,Qara,2.2,Dizel,240000,Avtomat,Xeyr,15871
2063,BYD,Song Plus EV,2024,Ağ,0.0,,18900,Reduktor,Xeyr,23010
2064,Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
2067,Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
2072,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
2073,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
2074,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
2075,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
2076,BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
2077,Kia,Forte,2016,Gümüşü,1.8,Benzin,190744,Avtomat,Xeyr,9912
2078,Toyota,Camry,2023,Qara,2.5,Hibrid,35000,Variator,Xeyr,30800
2080,Toyota,RAV4,2023,Qara,2.5,Hibrid,19000,Variator,Xeyr,35105
2082,Hyundai,Sonata,2017,Qara,2.0,Benzin,187000,Avtomat,Xeyr,13452
2083,Geely,Coolray,2024,Mavi,1.5,Benzin,0,Robot,Bəli,23541
2085,Nissan,Kicks,2018,Tünd qırmızı,1.6,Benzin,118000,Variator,Xeyr,14101
2086,Nissan,Qashqai,2011,Qara,2.0,Benzin,238000,Avtomat,Xeyr,11741
2087,BMW,X5,2008,Qara,3.0,Benzin,192000,Avtomat,Xeyr,15871
2088,Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
2091,Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
2096,Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
2097,Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
2098,BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
2099,Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
