Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
BMW,320,2016,Yaş Asfalt,2.0,Benzin,146012,Avtomat,Xeyr,15635
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
Nissan,Navara,2012,Qara,2.5,Dizel,256080,Avtomat,Xeyr,21239
Nissan,Note,2015,Ağ,1.2,Benzin,44000,Variator,Xeyr,9440
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
Nissan,Note,2015,Ağ,1.2,Benzin,44000,Variator,Xeyr,9440
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
BMW,530,2017,Qara,2.0,Benzin,108000,Avtomat,Xeyr,24500
Neta,GT,2023,Boz,0.0,,0,Reduktor,Bəli,29000
Nissan,Note,2015,Ağ,1.2,Benzin,44000,Variator,Xeyr,9440
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
Hyundai,Grandeur,2015,Qara,2.2,Dizel,179000,Avtomat,Xeyr,20355
Hyundai,Elantra,2019,Yaş Asfalt,2.0,Benzin,48000,Avtomat,Xeyr,14455
Neta,GT,2023,Boz,0.0,,0,Reduktor,Bəli,29000
Nissan,Note,2015,Ağ,1.2,Benzin,44000,Variator,Xeyr,9440
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
Hyundai,Elantra,2019,Yaş Asfalt,2.0,Benzin,48000,Avtomat,Xeyr,14455
Neta,GT,2023,Boz,0.0,,0,Reduktor,Bəli,29000
Nissan,Note,2015,Ağ,1.2,Benzin,44000,Variator,Xeyr,9440
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
Hyundai,Elantra,2019,Yaş Asfalt,2.0,Benzin,48000,Avtomat,Xeyr,14455
Neta,GT,2023,Boz,0.0,,0,Reduktor,Bəli,29000
Nissan,Note,2015,Ağ,1.2,Benzin,44000,Variator,Xeyr,9440
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
Hyundai,Elantra,2019,Yaş Asfalt,2.0,Benzin,48000,Avtomat,Xeyr,14455
Neta,GT,2023,Boz,0.0,,0,Reduktor,Bəli,29000
Nissan,Note,2015,Ağ,1.2,Benzin,44000,Variator,Xeyr,9440
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Changan,CS 55 Plus,2023,Boz,1.5,Benzin,41373,Avtomat,Xeyr,29284
Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,20237
Hyundai,Elantra,2019,Yaş Asfalt,2.0,Benzin,48000,Avtomat,Xeyr,14455
Neta,GT,2023,Boz,0.0,,0,Reduktor,Bəli,29000
Nissan,Note,2015,Ağ,1.2,Benzin,44000,Variator,Xeyr,9440
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Plug-in Hibrid,0,Robot,Bəli,25900
Mercedes,E 220 d,2009,Qara,2.2,Dizel,276000,Avtomat,Xeyr,12744
Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,20237
Hyundai,Elantra,2019,Yaş Asfalt,2.0,Benzin,48000,Avtomat,Xeyr,14455
Neta,GT,2023,Boz,0.0,,0,Reduktor,Bəli,29000
Nissan,Note,2015,Ağ,1.2,Benzin,44000,Variator,Xeyr,9440
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
Hyundai,Sonata,2015,Ağ,2.4,Benzin,164500,Avtomat,Xeyr,18880
Li Auto,L7,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,56000
Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Plug-in Hibrid,0,Avtomat,Bəli,73005
Leapmotor,C01,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,28261
Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,18231
Nissan,Note,2019,Ağ,1.2,Hibrid,32500,Reduktor,Xeyr,12508
Kia,Sorento,2018,Yaş Asfalt,2.2,Dizel,71000,Avtomat,Xeyr,27081
Toyota,Sienta,2017,Gümüşü,1.5,Hibrid,56850,Variator,Xeyr,14720
Toyota,Sienta,2016,Ağ,1.5,Hibrid,44444,Variator,Xeyr,15045
Ford,F-450,2011,Qara,7.0,Dizel,8225,Avtomat,Xeyr,125000
Hyundai,ix35,2013,Qara,2.0,Benzin,145438,Avtomat,Xeyr,14750
GAC,Emkoo,2024,Ağ,1.5,Benzin,0,Avtomat,Bəli,24131
ZEEKR,001,2023,Göy,0.0,,30000,Reduktor,Xeyr,32000
Hyundai,Grandeur,2023,Boz,1.6,Hibrid,28000,Avtomat,Xeyr,38500
GAC,Empow,2024,Qara,1.5,Benzin,0,Robot,Bəli,22361
GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Benzin,0,Avtomat,Bəli,21771
Avatr,12,2024,Yaş Asfalt,0.0,,0,Reduktor,Bəli,45000
Mercedes,E 220 d,2009,Qara,2.2,Dizel,276000,Avtomat,Xeyr,12744
Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,20237
Hyundai,Elantra,2019,Yaş Asfalt,2.0,Benzin,48000,Avtomat,Xeyr,14455
Neta,GT,2023,Boz,0.0,,0,Reduktor,Bəli,29000
Nissan,Note,2015,Ağ,1.2,Benzin,44000,Variator,Xeyr,9440
Dodge,Durango,2022,Boz,3.6,Benzin,0,Avtomat,Bəli,63000
Changan,Qiyuan A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,13990
