,Links,Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
14,https://turbo.az/autos/8741504-changan-f70-hunter,Changan,F70 (Hunter),2022,Göy,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,30 000 km,Mexaniki,Xeyr,36 900 AZN
15,https://turbo.az/autos/8947499-mercedes-g-63-amg,Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Mühərrik4.0 L / 585 a.g. / Benzin,107 000 km,Avtomat,Xeyr,167 000 USD
16,https://turbo.az/autos/9087239-skoda-rapid,Skoda,Rapid,2020,Ağ,1.6,Mühərrik1.6 L / 110 a.g. / Benzin,81 000 km,Avtomat,Xeyr,13 800 USD
17,https://turbo.az/autos/8564334-changan-f70-hunter,Changan,F70 (Hunter),2023,Göy,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,0 km,Mexaniki,Bəli,43 900 AZN
18,https://turbo.az/autos/9001353-changan-uni-k,Changan,Uni-K,2022,Ağ,2.0,Mühərrik2.0 L / 233 a.g. / Benzin,42 000 km,Avtomat,Xeyr,40 900 AZN
19,https://turbo.az/autos/7919207-changan-cs-35-plus,Changan,CS 35 Plus,2023,Ağ,1.4,Mühərrik1.4 L / 160 a.g. / Benzin,0 km,Avtomat,Bəli,33 900 AZN
20,https://turbo.az/autos/8997262-changan-nevo-a05,Changan,Nevo A05,2024,Yaş Asfalt,1.5,Mühərrik1.5 L / 215 a.g. / Plug-in Hibrid,0 km,Variator,Bəli,34 900 AZN
21,https://turbo.az/autos/9075165-audi-q7,Audi,Q7,2007,Qara,4.2,Mühərrik4.2 L / 350 a.g. / Benzin,178 000 km,Avtomat,Xeyr,16 800 AZN
22,https://turbo.az/autos/9073855-porsche-macan-s,Porsche,Macan S,2014,Qara,3.0,Mühərrik3.0 L / 360 a.g. / Benzin,210 000 km,Avtomat,Xeyr,26 000 USD
23,https://turbo.az/autos/8996718-changan-nevo-a05,Changan,Nevo A05,2024,Ağ,1.5,Mühərrik1.5 L / 215 a.g. / Plug-in Hibrid,0 km,Variator,Bəli,34 900 AZN
24,https://turbo.az/autos/9075031-honda-insight,Honda,Insight,2014,Qəhvəyi,1.3,Mühərrik1.3 L / 98 a.g. / Hibrid,244 000 km,Variator,Xeyr,15 800 AZN
25,https://turbo.az/autos/8989100-bmw-x5,BMW,X5,2015,Göy,2.0,Mühərrik2.0 L / 313 a.g. / Plug-in Hibrid,121 000 km,Avtomat,Xeyr,28 000 USD
26,https://turbo.az/autos/9000361-volkswagen-transporter,Volkswagen,Transporter,2018,Qara,2.0,Mühərrik2.0 L / 140 a.g. / Dizel,60 000 km,Avtomat,Xeyr,30 700 USD
27,https://turbo.az/autos/9066249-honda-accord,Honda,Accord,2021,Yaş Asfalt,2.0,Mühərrik2.0 L / 212 a.g. / Hibrid,52 000 km,Variator,Xeyr,22 650 USD
28,https://turbo.az/autos/9089754-mercedes-c-230,Mercedes,C 230,1999,Qızılı,2.3,Mühərrik2.3 L / 150 a.g. / Benzin,284 000 km,Avtomat,Xeyr,12 450 AZN
29,https://turbo.az/autos/9051723-land-rover-range-rover,Land Rover,Range Rover,2024,Qara,3.0,Mühərrik3.0 L / 460 a.g. / Plug-in Hibrid,0 km,Avtomat,Bəli,241 300 USD
30,https://turbo.az/autos/8533069-bmw-530,BMW,530,2008,Qara,3.0,Mühərrik3.0 L / 272 a.g. / Benzin,291 000 km,Avtomat,Xeyr,21 500 AZN
31,https://turbo.az/autos/9024906-hyundai-elantra,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Mühərrik2.0 L / 150 a.g. / Benzin,88 514 km,Avtomat,Xeyr,27 900 AZN
32,https://turbo.az/autos/8425718-voyah-free,Voyah,Free,2024,Qara,1.5,Mühərrik1.5 L / 490 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,39 900 USD
33,https://turbo.az/autos/8111899-voyah-free,Voyah,Free,2024,Yaşıl,1.5,Mühərrik1.5 L / 490 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,40 900 USD
34,https://turbo.az/autos/9032803-land-rover-range-rover,Land Rover,Range Rover,2015,Ağ,5.0,Mühərrik5.0 L / 510 a.g. / Benzin,45 000 km,Avtomat,Xeyr,61 900 USD
35,https://turbo.az/autos/9023476-nissan-note,Nissan,Note,2015,Tünd qırmızı,1.2,Mühərrik1.2 L / 98 a.g. / Benzin,27 500 km,Variator,Xeyr,15 800 AZN
36,https://turbo.az/autos/9038418-leapmotor-c11,Leapmotor,C11,2024,Ağ,1.5,Mühərrik1.5 L / 272 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,50 900 AZN
37,https://turbo.az/autos/9100987-bentley-bentayga,Bentley,Bentayga,2024,Qara,4.0,Mühərrik4.0 L / 550 a.g. / Benzin,0 km,Avtomat,Bəli,319 000 EUR
38,https://turbo.az/autos/8967514-changan-f70-hunter,Changan,F70 (Hunter),2022,Ağ,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,81 500 km,Mexaniki,Xeyr,30 900 AZN
39,https://turbo.az/autos/8741504-changan-f70-hunter,Changan,F70 (Hunter),2022,Göy,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,30 000 km,Mexaniki,Xeyr,36 900 AZN
40,https://turbo.az/autos/8947499-mercedes-g-63-amg,Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Mühərrik4.0 L / 585 a.g. / Benzin,107 000 km,Avtomat,Xeyr,167 000 USD
41,https://turbo.az/autos/9087239-skoda-rapid,Skoda,Rapid,2020,Ağ,1.6,Mühərrik1.6 L / 110 a.g. / Benzin,81 000 km,Avtomat,Xeyr,13 800 USD
42,https://turbo.az/autos/8564334-changan-f70-hunter,Changan,F70 (Hunter),2023,Göy,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,0 km,Mexaniki,Bəli,43 900 AZN
43,https://turbo.az/autos/9001353-changan-uni-k,Changan,Uni-K,2022,Ağ,2.0,Mühərrik2.0 L / 233 a.g. / Benzin,42 000 km,Avtomat,Xeyr,40 900 AZN
44,https://turbo.az/autos/7919207-changan-cs-35-plus,Changan,CS 35 Plus,2023,Ağ,1.4,Mühərrik1.4 L / 160 a.g. / Benzin,0 km,Avtomat,Bəli,33 900 AZN
45,https://turbo.az/autos/8997262-changan-nevo-a05,Changan,Nevo A05,2024,Yaş Asfalt,1.5,Mühərrik1.5 L / 215 a.g. / Plug-in Hibrid,0 km,Variator,Bəli,34 900 AZN
46,https://turbo.az/autos/9075165-audi-q7,Audi,Q7,2007,Qara,4.2,Mühərrik4.2 L / 350 a.g. / Benzin,178 000 km,Avtomat,Xeyr,16 800 AZN
47,https://turbo.az/autos/9073855-porsche-macan-s,Porsche,Macan S,2014,Qara,3.0,Mühərrik3.0 L / 360 a.g. / Benzin,210 000 km,Avtomat,Xeyr,26 000 USD
48,https://turbo.az/autos/9065930-hyundai-santa-fe,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Mühərrik2.0 L / 184 a.g. / Dizel,203 000 km,Avtomat,Xeyr,28 888 AZN
49,https://turbo.az/autos/9075031-honda-insight,Honda,Insight,2014,Qəhvəyi,1.3,Mühərrik1.3 L / 98 a.g. / Hibrid,244 000 km,Variator,Xeyr,15 800 AZN
50,https://turbo.az/autos/8989100-bmw-x5,BMW,X5,2015,Göy,2.0,Mühərrik2.0 L / 313 a.g. / Plug-in Hibrid,121 000 km,Avtomat,Xeyr,28 000 USD
51,https://turbo.az/autos/9000361-volkswagen-transporter,Volkswagen,Transporter,2018,Qara,2.0,Mühərrik2.0 L / 140 a.g. / Dizel,60 000 km,Avtomat,Xeyr,30 700 USD
52,https://turbo.az/autos/9066249-honda-accord,Honda,Accord,2021,Yaş Asfalt,2.0,Mühərrik2.0 L / 212 a.g. / Hibrid,52 000 km,Variator,Xeyr,22 650 USD
53,https://turbo.az/autos/9089754-mercedes-c-230,Mercedes,C 230,1999,Qızılı,2.3,Mühərrik2.3 L / 150 a.g. / Benzin,284 000 km,Avtomat,Xeyr,12 450 AZN
54,https://turbo.az/autos/9051723-land-rover-range-rover,Land Rover,Range Rover,2024,Qara,3.0,Mühərrik3.0 L / 460 a.g. / Plug-in Hibrid,0 km,Avtomat,Bəli,241 300 USD
55,https://turbo.az/autos/8533069-bmw-530,BMW,530,2008,Qara,3.0,Mühərrik3.0 L / 272 a.g. / Benzin,291 000 km,Avtomat,Xeyr,21 500 AZN
56,https://turbo.az/autos/9024906-hyundai-elantra,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Mühərrik2.0 L / 150 a.g. / Benzin,88 514 km,Avtomat,Xeyr,27 900 AZN
57,https://turbo.az/autos/8425718-voyah-free,Voyah,Free,2024,Qara,1.5,Mühərrik1.5 L / 490 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,39 900 USD
58,https://turbo.az/autos/8111899-voyah-free,Voyah,Free,2024,Yaşıl,1.5,Mühərrik1.5 L / 490 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,40 900 USD
59,https://turbo.az/autos/9032803-land-rover-range-rover,Land Rover,Range Rover,2015,Ağ,5.0,Mühərrik5.0 L / 510 a.g. / Benzin,45 000 km,Avtomat,Xeyr,61 900 USD
60,https://turbo.az/autos/9023476-nissan-note,Nissan,Note,2015,Tünd qırmızı,1.2,Mühərrik1.2 L / 98 a.g. / Benzin,27 500 km,Variator,Xeyr,15 800 AZN
61,https://turbo.az/autos/9038418-leapmotor-c11,Leapmotor,C11,2024,Ağ,1.5,Mühərrik1.5 L / 272 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,50 900 AZN
62,https://turbo.az/autos/9100987-bentley-bentayga,Bentley,Bentayga,2024,Qara,4.0,Mühərrik4.0 L / 550 a.g. / Benzin,0 km,Avtomat,Bəli,319 000 EUR
63,https://turbo.az/autos/8967514-changan-f70-hunter,Changan,F70 (Hunter),2022,Ağ,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,81 500 km,Mexaniki,Xeyr,30 900 AZN
64,https://turbo.az/autos/8741504-changan-f70-hunter,Changan,F70 (Hunter),2022,Göy,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,30 000 km,Mexaniki,Xeyr,36 900 AZN
65,https://turbo.az/autos/8947499-mercedes-g-63-amg,Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Mühərrik4.0 L / 585 a.g. / Benzin,107 000 km,Avtomat,Xeyr,167 000 USD
66,https://turbo.az/autos/9087239-skoda-rapid,Skoda,Rapid,2020,Ağ,1.6,Mühərrik1.6 L / 110 a.g. / Benzin,81 000 km,Avtomat,Xeyr,13 800 USD
67,https://turbo.az/autos/8564334-changan-f70-hunter,Changan,F70 (Hunter),2023,Göy,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,0 km,Mexaniki,Bəli,43 900 AZN
68,https://turbo.az/autos/9001353-changan-uni-k,Changan,Uni-K,2022,Ağ,2.0,Mühərrik2.0 L / 233 a.g. / Benzin,42 000 km,Avtomat,Xeyr,40 900 AZN
69,https://turbo.az/autos/7919207-changan-cs-35-plus,Changan,CS 35 Plus,2023,Ağ,1.4,Mühərrik1.4 L / 160 a.g. / Benzin,0 km,Avtomat,Bəli,33 900 AZN
70,https://turbo.az/autos/8997262-changan-nevo-a05,Changan,Nevo A05,2024,Yaş Asfalt,1.5,Mühərrik1.5 L / 215 a.g. / Plug-in Hibrid,0 km,Variator,Bəli,34 900 AZN
71,https://turbo.az/autos/9075165-audi-q7,Audi,Q7,2007,Qara,4.2,Mühərrik4.2 L / 350 a.g. / Benzin,178 000 km,Avtomat,Xeyr,16 800 AZN
72,https://turbo.az/autos/9065930-hyundai-santa-fe,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Mühərrik2.0 L / 184 a.g. / Dizel,203 000 km,Avtomat,Xeyr,28 888 AZN
73,https://turbo.az/autos/9075031-honda-insight,Honda,Insight,2014,Qəhvəyi,1.3,Mühərrik1.3 L / 98 a.g. / Hibrid,244 000 km,Variator,Xeyr,15 800 AZN
74,https://turbo.az/autos/8989100-bmw-x5,BMW,X5,2015,Göy,2.0,Mühərrik2.0 L / 313 a.g. / Plug-in Hibrid,121 000 km,Avtomat,Xeyr,28 000 USD
75,https://turbo.az/autos/9000361-volkswagen-transporter,Volkswagen,Transporter,2018,Qara,2.0,Mühərrik2.0 L / 140 a.g. / Dizel,60 000 km,Avtomat,Xeyr,30 700 USD
76,https://turbo.az/autos/9066249-honda-accord,Honda,Accord,2021,Yaş Asfalt,2.0,Mühərrik2.0 L / 212 a.g. / Hibrid,52 000 km,Variator,Xeyr,22 650 USD
77,https://turbo.az/autos/9089754-mercedes-c-230,Mercedes,C 230,1999,Qızılı,2.3,Mühərrik2.3 L / 150 a.g. / Benzin,284 000 km,Avtomat,Xeyr,12 450 AZN
78,https://turbo.az/autos/9051723-land-rover-range-rover,Land Rover,Range Rover,2024,Qara,3.0,Mühərrik3.0 L / 460 a.g. / Plug-in Hibrid,0 km,Avtomat,Bəli,241 300 USD
79,https://turbo.az/autos/8533069-bmw-530,BMW,530,2008,Qara,3.0,Mühərrik3.0 L / 272 a.g. / Benzin,291 000 km,Avtomat,Xeyr,21 500 AZN
80,https://turbo.az/autos/9024906-hyundai-elantra,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Mühərrik2.0 L / 150 a.g. / Benzin,88 514 km,Avtomat,Xeyr,27 900 AZN
81,https://turbo.az/autos/8425718-voyah-free,Voyah,Free,2024,Qara,1.5,Mühərrik1.5 L / 490 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,39 900 USD
82,https://turbo.az/autos/8111899-voyah-free,Voyah,Free,2024,Yaşıl,1.5,Mühərrik1.5 L / 490 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,40 900 USD
83,https://turbo.az/autos/9032803-land-rover-range-rover,Land Rover,Range Rover,2015,Ağ,5.0,Mühərrik5.0 L / 510 a.g. / Benzin,45 000 km,Avtomat,Xeyr,61 900 USD
84,https://turbo.az/autos/9023476-nissan-note,Nissan,Note,2015,Tünd qırmızı,1.2,Mühərrik1.2 L / 98 a.g. / Benzin,27 500 km,Variator,Xeyr,15 800 AZN
85,https://turbo.az/autos/9038418-leapmotor-c11,Leapmotor,C11,2024,Ağ,1.5,Mühərrik1.5 L / 272 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,50 900 AZN
86,https://turbo.az/autos/9100987-bentley-bentayga,Bentley,Bentayga,2024,Qara,4.0,Mühərrik4.0 L / 550 a.g. / Benzin,0 km,Avtomat,Bəli,319 000 EUR
87,https://turbo.az/autos/8967514-changan-f70-hunter,Changan,F70 (Hunter),2022,Ağ,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,81 500 km,Mexaniki,Xeyr,30 900 AZN
88,https://turbo.az/autos/8741504-changan-f70-hunter,Changan,F70 (Hunter),2022,Göy,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,30 000 km,Mexaniki,Xeyr,36 900 AZN
89,https://turbo.az/autos/8947499-mercedes-g-63-amg,Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Mühərrik4.0 L / 585 a.g. / Benzin,107 000 km,Avtomat,Xeyr,167 000 USD
90,https://turbo.az/autos/9087239-skoda-rapid,Skoda,Rapid,2020,Ağ,1.6,Mühərrik1.6 L / 110 a.g. / Benzin,81 000 km,Avtomat,Xeyr,13 800 USD
91,https://turbo.az/autos/8564334-changan-f70-hunter,Changan,F70 (Hunter),2023,Göy,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,0 km,Mexaniki,Bəli,43 900 AZN
92,https://turbo.az/autos/9001353-changan-uni-k,Changan,Uni-K,2022,Ağ,2.0,Mühərrik2.0 L / 233 a.g. / Benzin,42 000 km,Avtomat,Xeyr,40 900 AZN
93,https://turbo.az/autos/7919207-changan-cs-35-plus,Changan,CS 35 Plus,2023,Ağ,1.4,Mühərrik1.4 L / 160 a.g. / Benzin,0 km,Avtomat,Bəli,33 900 AZN
94,https://turbo.az/autos/8997262-changan-nevo-a05,Changan,Nevo A05,2024,Yaş Asfalt,1.5,Mühərrik1.5 L / 215 a.g. / Plug-in Hibrid,0 km,Variator,Bəli,34 900 AZN
95,https://turbo.az/autos/9075165-audi-q7,Audi,Q7,2007,Qara,4.2,Mühərrik4.2 L / 350 a.g. / Benzin,178 000 km,Avtomat,Xeyr,16 800 AZN
96,https://turbo.az/autos/9034056-daf-105-xf,DAF,105 XF,2008,Qırmızı,0,Mühərrik13 L / 460 a.g. / Dizel,1 320 000 km,Mexaniki,Xeyr,48 000 AZN
97,https://turbo.az/autos/8572449-suzuki-s-cross,Suzuki,S-Cross,2024,Yaş Asfalt,1.4,Mühərrik1.4 L / 130 a.g. / Benzin,0 km,Avtomat,Bəli,41 500 AZN
98,https://turbo.az/autos/9065930-hyundai-santa-fe,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Mühərrik2.0 L / 184 a.g. / Dizel,203 000 km,Avtomat,Xeyr,28 888 AZN
99,https://turbo.az/autos/9075031-honda-insight,Honda,Insight,2014,Qəhvəyi,1.3,Mühərrik1.3 L / 98 a.g. / Hibrid,244 000 km,Variator,Xeyr,15 800 AZN
100,https://turbo.az/autos/8989100-bmw-x5,BMW,X5,2015,Göy,2.0,Mühərrik2.0 L / 313 a.g. / Plug-in Hibrid,121 000 km,Avtomat,Xeyr,28 000 USD
101,https://turbo.az/autos/9000361-volkswagen-transporter,Volkswagen,Transporter,2018,Qara,2.0,Mühərrik2.0 L / 140 a.g. / Dizel,60 000 km,Avtomat,Xeyr,30 700 USD
102,https://turbo.az/autos/9066249-honda-accord,Honda,Accord,2021,Yaş Asfalt,2.0,Mühərrik2.0 L / 212 a.g. / Hibrid,52 000 km,Variator,Xeyr,22 650 USD
103,https://turbo.az/autos/9089754-mercedes-c-230,Mercedes,C 230,1999,Qızılı,2.3,Mühərrik2.3 L / 150 a.g. / Benzin,284 000 km,Avtomat,Xeyr,12 450 AZN
104,https://turbo.az/autos/9051723-land-rover-range-rover,Land Rover,Range Rover,2024,Qara,3.0,Mühərrik3.0 L / 460 a.g. / Plug-in Hibrid,0 km,Avtomat,Bəli,241 300 USD
